Step:240	 mouse A(0,37,17) dir=0	 mouse B(1,99,59) dir=0
Step:241	 mouse A(0,37,18) dir=0	 mouse B(1,99,58) dir=0
Step:242	 mouse A(0,37,19) dir=0	 mouse B(1,99,57) dir=0
Step:243	 mouse A(0,38,19) dir=0	 mouse B(1,98,57) dir=0
Step:244	 mouse A(0,39,19) dir=0	 mouse B(1,97,57) dir=0
Step:245	 mouse A(0,40,19) dir=0	 mouse B(1,96,57) dir=0
Step:246	 mouse A(0,41,19) dir=0	 mouse B(1,95,57) dir=0
Step:247	 mouse A(0,41,18) dir=0	 mouse B(1,94,57) dir=0
Step:248	 mouse A(0,41,17) dir=0	 mouse B(1,93,57) dir=0
Step:249	 mouse A(0,42,17) dir=0	 mouse B(1,92,57) dir=0
Step:250	 mouse A(0,43,17) dir=0	 mouse B(1,91,57) dir=0
Step:251	 mouse A(0,43,16) dir=0	 mouse B(1,91,56) dir=0
Step:252	 mouse A(0,43,15) dir=0	 mouse B(1,91,55) dir=0
Step:253	 mouse A(0,42,15) dir=0	 mouse B(1,92,55) dir=0
Step:254	 mouse A(0,41,15) dir=0	 mouse B(1,93,55) dir=0
Step:255	 mouse A(0,40,15) dir=0	 mouse B(1,93,54) dir=0
Step:256	 mouse A(0,39,15) dir=0	 mouse B(1,93,53) dir=0
Step:257	 mouse A(0,39,16) dir=0	 mouse B(1,94,53) dir=0
Step:258	 mouse A(0,39,17) dir=0	 mouse B(1,95,53) dir=0
Step:259	 mouse A(0,39,16) dir=1	 mouse B(1,96,53) dir=0
Step:260	 mouse A(0,39,15) dir=1	 mouse B(1,97,53) dir=0
Step:261	 mouse A(0,39,14) dir=0	 mouse B(1,97,52) dir=0
Step:262	 mouse A(0,39,13) dir=0	 mouse B(1,97,51) dir=0
Step:263	 mouse A(0,39,12) dir=0	 mouse B(1,96,51) dir=0
Step:264	 mouse A(0,39,11) dir=0	 mouse B(1,95,51) dir=0
Step:265	 mouse A(0,40,11) dir=0	 mouse B(1,94,51) dir=0
Step:266	 mouse A(0,41,11) dir=0	 mouse B(1,93,51) dir=0
Step:267	 mouse A(0,41,10) dir=0	 mouse B(1,92,51) dir=0
Step:268	 mouse A(0,41,9) dir=0	 mouse B(1,91,51) dir=0
Step:269	 mouse A(0,41,8) dir=0	 mouse B(1,90,51) dir=0
Step:270	 mouse A(0,41,7) dir=0	 mouse B(1,89,51) dir=0
Step:271	 mouse A(0,42,7) dir=0	 mouse B(1,88,51) dir=0
Step:272	 mouse A(0,43,7) dir=0	 mouse B(1,87,51) dir=0
Step:273	 mouse A(0,43,6) dir=0	 mouse B(1,87,50) dir=0
Step:274	 mouse A(0,43,5) dir=0	 mouse B(1,87,49) dir=0
Step:275	 mouse A(0,43,4) dir=0	 mouse B(1,86,49) dir=0
Step:276	 mouse A(0,43,3) dir=0	 mouse B(1,85,49) dir=0
Step:277	 mouse A(0,44,3) dir=0	 mouse B(1,85,48) dir=0
Step:278	 mouse A(0,45,3) dir=0	 mouse B(1,85,47) dir=0
Step:279	 mouse A(0,46,3) dir=0	 mouse B(1,86,47) dir=0
Step:280	 mouse A(0,47,3) dir=0	 mouse B(1,87,47) dir=0
Step:281	 mouse A(0,48,3) dir=0	 mouse B(1,87,46) dir=0
Step:282	 mouse A(0,49,3) dir=0	 mouse B(1,87,45) dir=0
Step:283	 mouse A(0,50,3) dir=0	 mouse B(1,87,44) dir=0
Step:284	 mouse A(0,51,3) dir=0	 mouse B(1,87,43) dir=0
Step:285	 mouse A(0,51,2) dir=0	 mouse B(1,87,42) dir=0
Step:286	 mouse A(0,51,1) dir=0	 mouse B(1,87,41) dir=0
Step:287	 mouse A(0,52,1) dir=0	 mouse B(1,86,41) dir=0
Step:288	 mouse A(0,53,1) dir=0	 mouse B(1,85,41) dir=0
Step:289	 mouse A(0,54,1) dir=0	 mouse B(1,84,41) dir=0
Step:290	 mouse A(0,55,1) dir=0	 mouse B(1,83,41) dir=0
Step:291	 mouse A(0,55,2) dir=0	 mouse B(1,83,42) dir=0
Step:292	 mouse A(0,55,3) dir=0	 mouse B(1,83,43) dir=0
Step:293	 mouse A(0,54,3) dir=0	 mouse B(1,82,43) dir=0
Step:294	 mouse A(0,53,3) dir=0	 mouse B(1,81,43) dir=0
Step:295	 mouse A(0,53,4) dir=0	 mouse B(1,81,42) dir=0
Step:296	 mouse A(0,53,5) dir=0	 mouse B(1,81,41) dir=0
Step:297	 mouse A(0,52,5) dir=0	 mouse B(1,81,40) dir=0
Step:298	 mouse A(0,51,5) dir=0	 mouse B(1,81,39) dir=0
Step:299	 mouse A(0,50,5) dir=0	 mouse B(1,82,39) dir=0
Step:300	 mouse A(0,49,5) dir=0	 mouse B(1,83,39) dir=0
Step:301	 mouse A(0,49,6) dir=0	 mouse B(1,83,38) dir=0
Step:302	 mouse A(0,49,7) dir=0	 mouse B(1,83,37) dir=0
Step:303	 mouse A(0,50,7) dir=0	 mouse B(1,84,37) dir=0
Step:304	 mouse A(0,51,7) dir=0	 mouse B(1,85,37) dir=0
Step:305	 mouse A(0,51,8) dir=0	 mouse B(1,86,37) dir=0
Step:306	 mouse A(0,51,9) dir=0	 mouse B(1,87,37) dir=0
Step:307	 mouse A(0,52,9) dir=0	 mouse B(1,87,38) dir=0
Step:308	 mouse A(0,53,9) dir=0	 mouse B(1,87,39) dir=0
Step:309	 mouse A(0,54,9) dir=0	 mouse B(1,86,39) dir=0
Step:310	 mouse A(0,55,9) dir=0	 mouse B(1,85,39) dir=0
Step:311	 mouse A(0,55,8) dir=0	 mouse B(1,86,39) dir=1
Step:312	 mouse A(0,55,7) dir=0	 mouse B(1,87,39) dir=1
Step:313	 mouse A(0,56,7) dir=0	 mouse B(1,88,39) dir=0
Step:314	 mouse A(0,57,7) dir=0	 mouse B(1,89,39) dir=0
Step:315	 mouse A(0,57,8) dir=0	 mouse B(1,89,40) dir=0
Step:316	 mouse A(0,57,9) dir=0	 mouse B(1,89,41) dir=0
Step:317	 mouse A(0,57,10) dir=0	 mouse B(1,90,41) dir=0
Step:318	 mouse A(0,57,11) dir=0	 mouse B(1,91,41) dir=0
Step:319	 mouse A(0,56,11) dir=0	 mouse B(1,91,42) dir=0
Step:320	 mouse A(0,55,11) dir=0	 mouse B(1,91,43) dir=0
Step:321	 mouse A(0,54,11) dir=0	 mouse B(1,90,43) dir=0
Step:322	 mouse A(0,53,11) dir=0	 mouse B(1,89,43) dir=0
Step:323	 mouse A(0,53,12) dir=0	 mouse B(1,89,44) dir=0
Step:324	 mouse A(0,53,13) dir=0	 mouse B(1,89,45) dir=0
Step:325	 mouse A(0,54,13) dir=0	 mouse B(1,90,45) dir=0
Step:326	 mouse A(0,55,13) dir=0	 mouse B(1,91,45) dir=0
Step:327	 mouse A(0,55,14) dir=0	 mouse B(1,91,46) dir=0
Step:328	 mouse A(0,55,15) dir=0	 mouse B(1,91,47) dir=0
Step:329	 mouse A(0,55,16) dir=0	 mouse B(1,91,48) dir=0
Step:330	 mouse A(0,55,17) dir=0	 mouse B(1,91,49) dir=0
Step:331	 mouse A(0,55,18) dir=0	 mouse B(1,90,49) dir=0
Step:332	 mouse A(0,55,19) dir=0	 mouse B(1,89,49) dir=0
Step:333	 mouse A(0,54,19) dir=0	 mouse B(1,89,48) dir=0
Step:334	 mouse A(0,53,19) dir=0	 mouse B(1,89,47) dir=0
Step:335	 mouse A(0,53,18) dir=0	 mouse B(1,89,48) dir=1
Step:336	 mouse A(0,53,17) dir=0	 mouse B(1,89,49) dir=1
Step:337	 mouse A(0,52,17) dir=0	 mouse B(1,90,49) dir=1
Step:338	 mouse A(0,51,17) dir=0	 mouse B(1,91,49) dir=1
