Step:209	 mouse A(0,29,34)	 mouse B(1,89,66)
Step:210	 mouse A(0,29,35)	 mouse B(1,89,67)
Step:211	 mouse A(0,29,36)	 mouse B(1,88,67)
Step:212	 mouse A(0,29,37)	 mouse B(1,87,67)
Step:213	 mouse A(0,29,38)	 mouse B(1,86,67)
Step:214	 mouse A(0,29,39)	 mouse B(1,85,67)
Step:215	 mouse A(0,30,39)	 mouse B(1,85,66)
Step:216	 mouse A(0,31,39)	 mouse B(1,85,65)
Step:217	 mouse A(0,31,40)	 mouse B(1,85,64)
Step:218	 mouse A(0,31,41)	 mouse B(1,85,63)
Step:219	 mouse A(0,31,42)	 mouse B(1,85,64)
Step:220	 mouse A(0,31,43)	 mouse B(1,85,65)
Step:221	 mouse A(0,32,43)	 mouse B(1,86,65)
Step:222	 mouse A(0,33,43)	 mouse B(1,87,65)
Step:223	 mouse A(0,33,44)	 mouse B(1,86,65)
Step:224	 mouse A(0,33,45)	 mouse B(1,85,65)
Step:225	 mouse A(0,33,46)	 mouse B(1,85,66)
Step:226	 mouse A(0,33,47)	 mouse B(1,85,67)
Step:227	 mouse A(0,33,48)	 mouse B(1,85,68)
Step:228	 mouse A(0,33,49)	 mouse B(1,85,69)
Step:229	 mouse A(0,33,50)	 mouse B(1,85,70)
Step:230	 mouse A(0,33,51)	 mouse B(1,85,71)
Step:231	 mouse A(0,32,51)	 mouse B(1,85,70)
Step:232	 mouse A(0,31,51)	 mouse B(1,85,69)
Step:233	 mouse A(0,31,50)	 mouse B(1,85,68)
Step:234	 mouse A(0,31,49)	 mouse B(1,85,67)
Step:235	 mouse A(0,31,48)	 mouse B(1,86,67)
Step:236	 mouse A(0,31,47)	 mouse B(1,87,67)
Step:237	 mouse A(0,31,46)	 mouse B(1,88,67)
Step:238	 mouse A(0,31,45)	 mouse B(1,89,67)
Step:239	 mouse A(0,30,45)	 mouse B(1,90,67)
Step:240	 mouse A(0,29,45)	 mouse B(1,91,67)
Step:241	 mouse A(0,28,45)	 mouse B(1,92,67)
Step:242	 mouse A(0,27,45)	 mouse B(1,93,67)
Step:243	 mouse A(0,27,44)	 mouse B(1,93,66)
Step:244	 mouse A(0,27,43)	 mouse B(1,93,65)
Step:245	 mouse A(0,28,43)	 mouse B(1,93,66)
Step:246	 mouse A(0,29,43)	 mouse B(1,93,67)
Step:247	 mouse A(0,29,42)	 mouse B(1,92,67)
Step:248	 mouse A(0,29,41)	 mouse B(1,91,67)
Step:249	 mouse A(0,28,41)	 mouse B(1,91,68)
Step:250	 mouse A(0,27,41)	 mouse B(1,91,69)
Step:251	 mouse A(0,26,41)	 mouse B(1,91,68)
Step:252	 mouse A(0,25,41)	 mouse B(1,91,67)
Step:253	 mouse A(0,25,42)	 mouse B(1,90,67)
Step:254	 mouse A(0,25,43)	 mouse B(1,89,67)
Step:255	 mouse A(0,25,44)	 mouse B(1,89,66)
Step:256	 mouse A(0,25,45)	 mouse B(1,89,65)
Step:257	 mouse A(0,25,46)	 mouse B(1,90,65)
Step:258	 mouse A(0,25,47)	 mouse B(1,91,65)
Step:259	 mouse A(0,26,47)	 mouse B(1,91,64)
Step:260	 mouse A(0,27,47)	 mouse B(1,91,63)
Step:261	 mouse A(0,27,48)	 mouse B(1,91,62)
Step:262	 mouse A(0,27,49)	 mouse B(1,91,61)
Step:263	 mouse A(0,28,49)	 mouse B(1,92,61)
Step:264	 mouse A(0,29,49)	 mouse B(1,93,61)
Step:265	 mouse A(0,29,50)	 mouse B(1,94,61)
Step:266	 mouse A(0,29,51)	 mouse B(1,95,61)
Step:267	 mouse A(0,29,52)	 mouse B(1,95,60)
Step:268	 mouse A(0,29,53)	 mouse B(1,95,59)
Step:269	 mouse A(0,29,54)	 mouse B(1,94,59)
Step:270	 mouse A(0,29,55)	 mouse B(1,93,59)
Step:271	 mouse A(0,28,55)	 mouse B(1,94,59)
Step:272	 mouse A(0,27,55)	 mouse B(1,95,59)
Step:273	 mouse A(0,27,56)	 mouse B(1,95,60)
Step:274	 mouse A(0,27,57)	 mouse B(1,95,61)
Step:275	 mouse A(0,28,57)	 mouse B(1,94,61)
Step:276	 mouse A(0,29,57)	 mouse B(1,93,61)
Step:277	 mouse A(0,29,58)	 mouse B(1,93,62)
Step:278	 mouse A(0,29,59)	 mouse B(1,93,63)
Step:279	 mouse A(0,29,60)	 mouse B(1,94,63)
Step:280	 mouse A(0,29,61)	 mouse B(1,95,63)
Step:281	 mouse A(0,30,61)	 mouse B(1,96,63)
Step:282	 mouse A(0,31,61)	 mouse B(1,97,63)
Step:283	 mouse A(0,32,61)	 mouse B(1,97,62)
Step:284	 mouse A(0,33,61)	 mouse B(1,97,61)
Step:285	 mouse A(0,34,61)	 mouse B(1,98,61)
Step:286	 mouse A(0,35,61)	 mouse B(1,99,61)
Step:287	 mouse A(0,35,62)	 mouse B(1,99,62)
Step:288	 mouse A(0,35,63)	 mouse B(1,99,63)
Step:289	 mouse A(0,34,63)	 mouse B(1,99,64)
Step:290	 mouse A(0,33,63)	 mouse B(1,99,65)
Step:291	 mouse A(0,33,64)	 mouse B(1,99,66)
Step:292	 mouse A(0,33,65)	 mouse B(1,99,67)
Step:293	 mouse A(0,32,65)	 mouse B(1,99,68)
Step:294	 mouse A(0,31,65)	 mouse B(1,99,69)
Step:295	 mouse A(0,31,66)	 mouse B(1,99,70)
Step:296	 mouse A(0,31,67)	 mouse B(1,99,71)
Step:297	 mouse A(0,32,67)	 mouse B(1,98,71)
Step:298	 mouse A(0,33,67)	 mouse B(1,97,71)
Step:299	 mouse A(0,34,67)	 mouse B(1,96,71)
Step:300	 mouse A(0,35,67)	 mouse B(1,95,71)
Step:301	 mouse A(0,36,67)	 mouse B(1,96,71)
Step:302	 mouse A(0,37,67)	 mouse B(1,97,71)
Step:303	 mouse A(0,38,67)	 mouse B(1,98,71)
Step:304	 mouse A(0,39,67)	 mouse B(1,99,71)
Step:305	 mouse A(0,39,66)	 mouse B(1,99,72)
Step:306	 mouse A(0,39,65)	 mouse B(1,99,73)
Step:307	 mouse A(0,39,64)	 mouse B(1,99,72)
Step:308	 mouse A(0,39,63)	 mouse B(1,99,71)
Step:309	 mouse A(0,39,62)	 mouse B(1,99,70)
Step:310	 mouse A(0,39,61)	 mouse B(1,99,69)
